method	trait	trait_arm	discovery_ancestry	target_stratum	matched	score	discovery_gwas	phenotype	threshold	n	n_families	n_snps	beta	se	p	p_adj
SBayesR	ALZigapNoAPOE	ALZ_IGAP_noAPOE	EUR	EUR	yes	raw	Kunkle minus APOE region	global_slope	sbr	4308	3601	1091144	-0.0116528043321529	0.0150225162268911	0.43797690558631	0.43797690558631
SBayesRC	ALZigapNoAPOE	ALZ_IGAP_noAPOE	EUR	EUR	yes	raw	Kunkle minus APOE region	global_slope	sbrc	4308	3601	1154522	0.00828126542073641	0.0148445269373939	0.576965785182386	0.576965785182386
CT	ALZigapNoAPOE	ALZ_IGAP_noAPOE	EUR	full	no	raw	Kunkle minus APOE region	global_slope	0p05	8596	7198	49348	-0.0740211072370618	0.0384146544985991	0.0540264070623953	0.432211256499162
CT	ALZigapNoAPOE	ALZ_IGAP_noAPOE	EUR	full	no	zanc	Kunkle minus APOE region	global_slope	0p05	8596	7198	49348	-0.0171624517485089	0.0113318115192141	0.129928735951914	1
PRSCS	ALZigapNoAPOE	ALZ_IGAP_noAPOE	EUR	full	no	raw	Kunkle minus APOE region	global_slope	prscs	8596	7198	1086447	-0.0330342725950368	0.039966180716198	0.408512721855457	0.408512721855457
PRSCS	ALZigapNoAPOE	ALZ_IGAP_noAPOE	EUR	full	no	zanc	Kunkle minus APOE region	global_slope	prscs	8596	7198	1086447	-0.00617531835789034	0.0111655285304133	0.580230821317566	0.580230821317566
SBayesR	ALZigapNoAPOE	ALZ_IGAP_noAPOE	EUR	full	no	raw	Kunkle minus APOE region	global_slope	sbr	8596	7198	1091144	-0.0170772126638794	0.0274492926982422	0.533868997643913	0.533868997643913
SBayesR	ALZigapNoAPOE	ALZ_IGAP_noAPOE	EUR	full	no	zanc	Kunkle minus APOE region	global_slope	sbr	8596	7198	1091144	-0.00547801682084969	0.0107859128711521	0.611546794135313	0.611546794135313
SBayesRC	ALZigapNoAPOE	ALZ_IGAP_noAPOE	EUR	full	no	raw	Kunkle minus APOE region	global_slope	sbrc	8596	7198	1154522	0.00615228179679367	0.0206898428333032	0.766200956484671	0.766200956484671
SBayesRC	ALZigapNoAPOE	ALZ_IGAP_noAPOE	EUR	full	no	zanc	Kunkle minus APOE region	global_slope	sbrc	8596	7198	1154522	0.00243899643074323	0.0106207557387475	0.818373878546307	0.818373878546307
CT	EA	EA	EUR	EUR	yes	raw	Okbay 2016 EduYears, N=405,072	global_slope	0p05	4308	3601	53224	0.0211438324145252	0.0150371338918412	0.159767917341478	1
PRSCS	EA	EA	EUR	EUR	yes	raw	Okbay 2016 EduYears, N=405,072	global_slope	prscs	4308	3601	1077436	0.0221521927791909	0.014957407780616	0.138678846439493	0.138678846439493
SBayesR	EA	EA	EUR	EUR	yes	raw	Okbay 2016 EduYears, N=405,072	global_slope	sbr	4308	3601	1089877	0.0204305562965556	0.0149960567008712	0.173149005836186	0.173149005836186
SBayesRC	EA	EA	EUR	EUR	yes	raw	Okbay 2016 EduYears, N=405,072	global_slope	sbrc	4308	3601	1154522	0.0208107872336679	0.0149832559200883	0.164928331365936	0.164928331365936
CT	EA	EA	EUR	full	no	raw	Okbay 2016 EduYears, N=405,072	global_slope	0p01	8596	7198	17551	0.0221858862003115	0.0142997763079218	0.120823883961182	0.966591071689454
CT	EA	EA	EUR	full	no	zanc	Okbay 2016 EduYears, N=405,072	global_slope	0p01	8596	7198	17551	0.0157433314815371	0.0104722742065396	0.132791205559598	1
PRSCS	EA	EA	EUR	full	no	raw	Okbay 2016 EduYears, N=405,072	global_slope	prscs	8596	7198	1077436	0.0204492786220977	0.014052018180252	0.145636744047452	0.145636744047452
PRSCS	EA	EA	EUR	full	no	zanc	Okbay 2016 EduYears, N=405,072	global_slope	prscs	8596	7198	1077436	0.0146981897981181	0.0105451316136126	0.163404795362609	0.163404795362609
SBayesR	EA	EA	EUR	full	no	raw	Okbay 2016 EduYears, N=405,072	global_slope	sbr	8596	7198	1089877	0.0188484960259895	0.0156589047938408	0.228743537885769	0.228743537885769
SBayesR	EA	EA	EUR	full	no	zanc	Okbay 2016 EduYears, N=405,072	global_slope	sbr	8596	7198	1089877	0.0124194271105003	0.010519962299698	0.237812785287691	0.237812785287691
SBayesRC	EA	EA	EUR	full	no	raw	Okbay 2016 EduYears, N=405,072	global_slope	sbrc	8596	7198	1154522	0.0117990522370303	0.0147746702753565	0.42454555056461	0.42454555056461
SBayesRC	EA	EA	EUR	full	no	zanc	Okbay 2016 EduYears, N=405,072	global_slope	sbrc	8596	7198	1154522	0.00825512003423427	0.0105221202105503	0.432740750680578	0.432740750680578
CT	SCZ	SCZ_pooled	multi	full	yes	raw	PGC3 primary (EUR+EAS+AFR+LAT)	baseline_thickness	1	8596	7198	396516	0.0155597550185272	0.0145509277581132	0.284950991350962	1
CT	SCZ	SCZ_pooled	multi	full	yes	zanc	PGC3 primary (EUR+EAS+AFR+LAT)	baseline_thickness	1	8596	7198	396516	0.0143164520943879	0.01095227323007	0.191191457663656	1
PRSCS	SCZ	SCZ_pooled	multi	full	yes	raw	PGC3 primary (EUR+EAS+AFR+LAT)	baseline_thickness	prscs	8596	7198	1088729	-0.00538100481356785	0.017236610645375	0.754907826450647	0.754907826450647
