design	trait_arm	disorder	stratum	phenotype	n	n_thresholds	n_perm	min_p	max_abs_t	p_perm	p_bonferroni	matched
matched	ASD	ASD	EUR	global_slope	4308	8	2000	0.0299172057803913	2.2426087767867213	0.1409295352323838	0.2393376462431304	yes
matched	ALZ	ALZ	EUR	baseline_thickness	4308	8	2000	0.051452226791343966	2.05623391906875	0.1774112943528236	0.41161781433075173	yes
matched	ALZ	ALZ	EUR	slope_PC1	4308	8	2000	0.003488953557916666	3.004506700384078	0.015992003998001	0.027911628463333327	yes
matched	ALZ	ALZ	EUR	slope_PC2	4308	8	2000	0.056593804000222486	2.003554828914254	0.19090454772613694	0.4527504320017799	yes
matched	ALZ	ALZ	EUR	slope_PC3	4308	8	2000	0.3237900046467096	1.0159878246735332	0.7566216891554223	1.0	yes
matched	ALZ	ALZ	EUR	global_slope	4308	8	2000	0.011352752618014881	2.532873675855362	0.05297351324337831	0.09082202094411905	yes
matched	ALZ_noAPOE	ALZnoAPOE	EUR	baseline_thickness	4308	8	2000	0.0105887635024947	2.8064852057088494	0.04047976011994003	0.0847101080199576	yes
matched	ALZ_noAPOE	ALZnoAPOE	EUR	slope_PC1	4308	8	2000	0.18546945945007506	1.3809848943404435	0.591704147926037	1.0	yes
matched	ALZ_noAPOE	ALZnoAPOE	EUR	slope_PC2	4308	8	2000	0.13842389573582145	1.5670967814654555	0.4612693653173413	1.0	yes
matched	ALZ_noAPOE	ALZnoAPOE	EUR	slope_PC3	4308	8	2000	0.34483935304195107	0.9629288505717876	0.8490754622688655	1.0	yes
matched	ALZ_noAPOE	ALZnoAPOE	EUR	global_slope	4308	8	2000	0.028832921487631686	2.1856556945459076	0.1549225387306347	0.2306633719010535	yes
matched	ALZ_IGAP	ALZIGAP	EUR	baseline_thickness	4308	8	2000	0.11276412625974654	1.653881552313926	0.3618190904547726	0.9021130100779723	yes
matched	ALZ_IGAP	ALZIGAP	EUR	slope_PC1	4308	8	2000	0.06536806101450551	1.8441324328147422	0.24437781109445278	0.5229444881160441	yes
matched	ALZ_IGAP	ALZIGAP	EUR	slope_PC2	4308	8	2000	0.07548865485556115	1.8038842813452267	0.2798600699650175	0.6039092388444892	yes
matched	ALZ_IGAP	ALZIGAP	EUR	slope_PC3	4308	8	2000	0.12644035464263184	1.5481437925793626	0.42778610694652675	1.0	yes
matched	ALZ_IGAP	ALZIGAP	EUR	global_slope	4308	8	2000	0.05681901514229279	1.9307338245960617	0.223888055972014	0.4545521211383423	yes
matched	ALZ_IGAP_noAPOE	ALZIGAPnoAPOE	EUR	baseline_thickness	4308	8	2000	0.009952965665169808	2.763026238880243	0.047476261869065464	0.07962372532135846	yes
matched	ALZ_IGAP_noAPOE	ALZIGAPnoAPOE	EUR	slope_PC1	4308	8	2000	0.08681779187403389	1.7241840093457628	0.3553223388305847	0.6945423349922711	yes
matched	ALZ_IGAP_noAPOE	ALZIGAPnoAPOE	EUR	slope_PC2	4308	8	2000	0.0804814516886551	1.7786236065059478	0.328335832083958	0.6438516135092408	yes
matched	ALZ_IGAP_noAPOE	ALZIGAPnoAPOE	EUR	slope_PC3	4308	8	2000	0.09052219813030532	1.7016134443354078	0.39780109945027486	0.7241775850424426	yes
matched	ALZ_IGAP_noAPOE	ALZIGAPnoAPOE	EUR	global_slope	4308	8	2000	0.06492384607162485	1.8737883949747969	0.2753623188405797	0.5193907685729988	yes
matched	EA	EA	EUR	baseline_thickness	4308	8	2000	0.09140761135839286	1.7702602029656058	0.3258370814592704	0.7312608908671429	yes
matched	EA	EA	EUR	slope_PC1	4308	8	2000	0.13009632038079164	1.523859402923234	0.4292853573213393	1.0	yes
matched	EA	EA	EUR	slope_PC2	4308	8	2000	0.024656572283386635	2.289136673821604	0.09845077461269365	0.19725257826709308	yes
matched	EA	EA	EUR	slope_PC3	4308	8	2000	0.037830442545584535	2.1248680838226983	0.17341329335332334	0.3026435403646763	yes
matched	EA	EA	EUR	global_slope	4308	8	2000	0.13843697296231305	1.509607910004386	0.4427786106946527	1.0	yes
legacy	SCZ	SCZ	EUR	baseline_thickness	4308	8	2000	0.2563249058299974	1.1728306527092585	0.63968015992004	1.0	no
legacy	SCZ	SCZ	EUR	slope_PC1	4308	8	2000	0.02069361524611716	2.3675037861788057	0.07296351824087956	0.16554892196893728	no
legacy	SCZ	SCZ	EUR	slope_PC2	4308	8	2000	0.15996175073964178	1.4402674716627395	0.4362818590704648	1.0	no
legacy	SCZ	SCZ	EUR	slope_PC3	4308	8	2000	0.12451437796715589	1.5731786385186233	0.37631184407796103	0.9961150237372471	no
legacy	SCZ	SCZ	EUR	global_slope	4308	8	2000	0.01541556218077823	2.4966432796965643	0.047476261869065464	0.12332449744622584	no
legacy	SCZ	SCZ	full	baseline_thickness	8596	8	2000	0.22401703898375885	1.2570213609393706	0.592703648175912	1.0	no
legacy	SCZ	SCZ	full	slope_PC1	8596	8	2000	0.0008565744704324879	3.420101986464163	0.00399800099950025	0.006852595763459903	no
legacy	SCZ	SCZ	full	slope_PC2	8596	8	2000	0.044062664441498645	1.9795571413575659	0.1774112943528236	0.35250131553198916	no
legacy	SCZ	SCZ	full	slope_PC3	8596	8	2000	0.5179170666862388	0.6576566624022333	0.9300349825087456	1.0	no
legacy	SCZ	SCZ	full	global_slope	8596	8	2000	0.0012522541366242542	3.274292469952545	0.005997001499250375	0.010018033092994033	no
legacy	MDD	MDD	EUR	baseline_thickness	4308	8	2000	0.05863780272162434	1.9452842637602379	0.19990004997501248	0.4691024217729947	no
legacy	MDD	MDD	EUR	slope_PC1	4308	8	2000	0.39448704620763536	0.8566411740985468	0.8335832083958021	1.0	no
legacy	MDD	MDD	EUR	slope_PC2	4308	8	2000	0.43692815665995827	0.7698724326026419	0.8690654672663668	1.0	no
legacy	MDD	MDD	EUR	slope_PC3	4308	8	2000	0.03415416117819993	2.219414120950814	0.10444777611194403	0.27323328942559943	no
legacy	MDD	MDD	EUR	global_slope	4308	8	2000	0.1872952987141249	1.3719523295247564	0.46326836581709147	1.0	no
legacy	MDD	MDD	full	baseline_thickness	8596	8	2000	0.018060032164568647	2.49124708949729	0.06046976511744128	0.14448025731654918	no
legacy	MDD	MDD	full	slope_PC1	8596	8	2000	0.05030027788893293	1.9748025610294984	0.18240879560219891	0.40240222311146345	no
legacy	MDD	MDD	full	slope_PC2	8596	8	2000	0.28092869876116594	1.081076410065462	0.6916541729135433	1.0	no
legacy	MDD	MDD	full	slope_PC3	8596	8	2000	0.12019061875612952	1.5987206744491858	0.35332333833083457	0.9615249500490362	no
