kind	disorder_result	phenotype	construction	variable	n_genes	beta	se	p
gene-set	SCZ sets	baseline_thickness	1lmm	SCZ25_genesig_new	214	0.14421	0.062374	0.010393
gene-set	SCZ sets	baseline_thickness	1lmm	SCZ25_locus_pool	1103	0.058252	0.041685	0.081154
gene-set	SCZ sets	baseline_thickness	1lmm	SCZ25_locus_pool_new	302	-0.0087968	0.062486	0.55598
gene-set	SCZ sets	baseline_thickness	1lmm	SCZ_locus_pool	455	0.18915	0.051697	0.00012717
gene-set	SCZ sets	baseline_thickness	1lmm	SCZ_pool_not_prio	354	0.18294	0.058029	0.00081108
gene-set	SCZ sets	baseline_thickness	1lmm	SCZ_prio_finemap	61	0.11004	0.11334	0.16583
gene-set	SCZ sets	baseline_thickness	1lmm	SCZ_prio_rare	7	0.27401	0.38422	0.23788
gene-set	SCZ sets	baseline_thickness	1lmm	SCZ_prio_smr	44	0.15973	0.1353	0.1189
gene-set	SCZ sets	baseline_thickness	1lmm	SCZ_prioritised	101	0.13352	0.090171	0.069345
gene-set	SCZ sets	baseline_thickness	1lmm	SCZ_prioritised_pc	101	0.13352	0.090171	0.069345
forward	ALZ	baseline_thickness	perregion	ALZ	18254	0.0080063	0.0075466	0.28875
forward	ALZ_noAPOE	baseline_thickness	perregion	ALZ_noAPOE	18171	0.0085745	0.0076715	0.26371
forward	ASD	baseline_thickness	perregion	ASD	18206	-0.0013805	0.007655	0.85689
forward	EA	baseline_thickness	perregion	EA	18264	0.023441	0.0066477	0.00042283
forward	MDD_EUR	baseline_thickness	perregion	MDD_EUR	18263	0.019613	0.0061485	0.0014264
forward	MDD_div	baseline_thickness	perregion	MDD_div	18228	0.020379	0.0061122	0.00085786
forward	PGC3_EUR	baseline_thickness	perregion	PGC3_EUR	18261	0.013661	0.0060696	0.024421
forward	PGC3_primary	baseline_thickness	perregion	PGC3_primary	18261	0.01906	0.0059922	0.0014723
forward	SCZ25_EUR	baseline_thickness	perregion	SCZ25_EUR	18270	0.015201	0.0060367	0.011812
forward	SCZ25_META	baseline_thickness	perregion	SCZ25_META	18270	0.018156	0.0060587	0.0027338
forward	SCZ25_METAnaive	baseline_thickness	perregion	SCZ25_METAnaive	18270	0.01749	0.0061804	0.004664
gene-set	MDD sets	baseline_thickness	perregion	MDD_hc_expression	56	0.1007	0.11881	0.19834
gene-set	MDD sets	baseline_thickness	perregion	MDD_hc_finemap	160	0.12867	0.074551	0.042187
gene-set	MDD sets	baseline_thickness	perregion	MDD_hc_protein	10	-0.12511	0.26593	0.68098
gene-set	MDD sets	baseline_thickness	perregion	MDD_highconf	213	0.087599	0.06395	0.085384
gene-set	MDD sets	baseline_thickness	perregion	MDD_pool	1881	0.040984	0.026493	0.060946
gene-set	MDD sets	baseline_thickness	perregion	MDD_pool_not_hc	1668	0.028488	0.02776	0.1524
gene-set	SCZ sets	baseline_thickness	perregion	PGC3_genesig	704	-0.0079434	0.050071	0.56302
gene-set	SCZ sets	baseline_thickness	perregion	PGC3_locus_pool	858	0.10803	0.046924	0.010668
gene-set	SCZ sets	baseline_thickness	perregion	SCZ25_genesig	777	0.098777	0.044224	0.012763
gene-set	SCZ sets	baseline_thickness	perregion	SCZ25_genesig_new	214	0.1461	0.06239	0.0096048
gene-set	SCZ sets	baseline_thickness	perregion	SCZ25_locus_pool	1103	0.059463	0.041697	0.076936
gene-set	SCZ sets	baseline_thickness	perregion	SCZ25_locus_pool_new	302	-0.0089401	0.062503	0.55687
gene-set	SCZ sets	baseline_thickness	perregion	SCZ_locus_pool	455	0.18861	0.051711	0.00013297
gene-set	SCZ sets	baseline_thickness	perregion	SCZ_pool_not_prio	354	0.18275	0.058045	0.00082256
gene-set	SCZ sets	baseline_thickness	perregion	SCZ_prio_finemap	61	0.10862	0.11338	0.16902
gene-set	SCZ sets	baseline_thickness	perregion	SCZ_prio_rare	7	0.27141	0.38432	0.24003
gene-set	SCZ sets	baseline_thickness	perregion	SCZ_prio_smr	44	0.16023	0.13534	0.11822
gene-set	SCZ sets	baseline_thickness	perregion	SCZ_prioritised	101	0.13233	0.090196	0.071176
gene-set	SCZ sets	baseline_thickness	perregion	SCZ_prioritised_pc	101	0.13233	0.090196	0.071176
forward	ALZ	global_slope	1lmm	ALZ	18260	0.0014575	0.0075633	0.84719
forward	ALZ_noAPOE	global_slope	1lmm	ALZ_noAPOE	18177	0.0031022	0.0076908	0.68669
forward	ASD	global_slope	1lmm	ASD	18210	-0.0092217	0.0076725	0.22941
forward	EA	global_slope	1lmm	EA	18275	0.0072866	0.0066611	0.27401
forward	MDD_EUR	global_slope	1lmm	MDD_EUR	18275	0.0031895	0.0061625	0.60477
forward	MDD_div	global_slope	1lmm	MDD_div	18240	0.00090705	0.0061247	0.88227
forward	PGC3_EUR	global_slope	1lmm	PGC3_EUR	18270	0.012069	0.006082	0.047234
forward	PGC3_primary	global_slope	1lmm	PGC3_primary	18261	0.010684	0.0060059	0.075272
forward	SCZ25_EUR	global_slope	1lmm	SCZ25_EUR	18282	0.010099	0.0060469	0.094909
forward	SCZ25_META	global_slope	1lmm	SCZ25_META	18282	0.010754	0.0060686	0.076406
forward	SCZ25_METAnaive	global_slope	1lmm	SCZ25_METAnaive	18277	0.0089597	0.0061918	0.14791
gene-set	MDD sets	global_slope	1lmm	MDD_hc_expression	56	-0.007842	0.11901	0.52627
gene-set	MDD sets	global_slope	1lmm	MDD_hc_finemap	160	-0.018453	0.074682	0.59758
gene-set	MDD sets	global_slope	1lmm	MDD_hc_protein	10	0.2943	0.26637	0.13462
gene-set	MDD sets	global_slope	1lmm	MDD_highconf	213	-0.014466	0.06406	0.58933
gene-set	MDD sets	global_slope	1lmm	MDD_pool	1881	0.010808	0.026539	0.34191
gene-set	MDD sets	global_slope	1lmm	MDD_pool_not_hc	1668	0.014592	0.027807	0.29988
gene-set	SCZ sets	global_slope	1lmm	PGC3_genesig	704	-0.039972	0.050153	0.78727
gene-set	SCZ sets	global_slope	1lmm	PGC3_locus_pool	858	0.050523	0.047009	0.14125
gene-set	SCZ sets	global_slope	1lmm	SCZ25_genesig	777	-0.008044	0.044305	0.57204
gene-set	SCZ sets	global_slope	1lmm	SCZ25_genesig_new	214	0.026661	0.062506	0.33486
gene-set	SCZ sets	global_slope	1lmm	SCZ25_locus_pool	1103	0.073581	0.041764	0.039061
gene-set	SCZ sets	global_slope	1lmm	SCZ25_locus_pool_new	302	0.091312	0.062602	0.072349
gene-set	SCZ sets	global_slope	1lmm	SCZ_locus_pool	455	0.13509	0.051809	0.0045656
gene-set	SCZ sets	global_slope	1lmm	SCZ_pool_not_prio	354	0.18475	0.058142	0.00074419
gene-set	SCZ sets	global_slope	1lmm	SCZ_prio_finemap	61	-0.016372	0.11357	0.55731
gene-set	SCZ sets	global_slope	1lmm	SCZ_prio_rare	7	0.64289	0.38493	0.047458
gene-set	SCZ sets	global_slope	1lmm	SCZ_prio_smr	44	0.015696	0.13557	0.45392
gene-set	SCZ sets	global_slope	1lmm	SCZ_prioritised	101	-0.035178	0.090352	0.65149
gene-set	SCZ sets	global_slope	1lmm	SCZ_prioritised_pc	101	-0.035178	0.090352	0.65149
forward	ALZ	global_slope	perregion	ALZ	18254	0.0033007	0.0075384	0.6615
forward	ALZ_noAPOE	global_slope	perregion	ALZ_noAPOE	18171	0.0063031	0.0076617	0.41071
forward	ASD	global_slope	perregion	ASD	18206	0.00016961	0.0076467	0.9823
forward	EA	global_slope	perregion	EA	18264	0.0060459	0.0066402	0.36258
forward	MDD_EUR	global_slope	perregion	MDD_EUR	18263	0.0065507	0.0061433	0.2863
forward	MDD_div	global_slope	perregion	MDD_div	18228	0.0039985	0.0061062	0.51259
forward	PGC3_EUR	global_slope	perregion	PGC3_EUR	18261	0.0099893	0.0060619	0.099399
forward	PGC3_primary	global_slope	perregion	PGC3_primary	18261	0.011376	0.0059855	0.05738
forward	SCZ25_EUR	global_slope	perregion	SCZ25_EUR	18270	0.014107	0.0060285	0.019296
forward	SCZ25_META	global_slope	perregion	SCZ25_META	18270	0.014584	0.006051	0.015956
forward	SCZ25_METAnaive	global_slope	perregion	SCZ25_METAnaive	18270	0.012369	0.0061727	0.045112
gene-set	MDD sets	global_slope	perregion	MDD_hc_expression	56	-0.059913	0.11863	0.69323
gene-set	MDD sets	global_slope	perregion	MDD_hc_finemap	160	-0.0064152	0.074444	0.53434
gene-set	MDD sets	global_slope	perregion	MDD_hc_protein	10	0.35296	0.26551	0.091873
gene-set	MDD sets	global_slope	perregion	MDD_highconf	213	-0.030262	0.063855	0.68222
gene-set	MDD sets	global_slope	perregion	MDD_pool	1881	0.028475	0.026454	0.14088
gene-set	MDD sets	global_slope	perregion	MDD_pool_not_hc	1668	0.036964	0.027717	0.091178
gene-set	SCZ sets	global_slope	perregion	PGC3_genesig	704	-0.034579	0.049993	0.75543
gene-set	SCZ sets	global_slope	perregion	PGC3_locus_pool	858	0.068224	0.046857	0.072708
gene-set	SCZ sets	global_slope	perregion	SCZ25_genesig	777	-0.011467	0.044163	0.60243
gene-set	SCZ sets	global_slope	perregion	SCZ25_genesig_new	214	0.011656	0.062306	0.4258
gene-set	SCZ sets	global_slope	perregion	SCZ25_locus_pool	1103	0.04139	0.041634	0.16009
gene-set	SCZ sets	global_slope	perregion	SCZ25_locus_pool_new	302	-0.024275	0.062406	0.65135
gene-set	SCZ sets	global_slope	perregion	SCZ_locus_pool	455	0.1699	0.051636	0.0005016
gene-set	SCZ sets	global_slope	perregion	SCZ_pool_not_prio	354	0.1973	0.057953	0.00033224
gene-set	SCZ sets	global_slope	perregion	SCZ_prio_finemap	61	0.1392	0.1132	0.10941
gene-set	SCZ sets	global_slope	perregion	SCZ_prio_rare	7	0.72505	0.38369	0.029411
gene-set	SCZ sets	global_slope	perregion	SCZ_prio_smr	44	-0.011771	0.13513	0.5347
gene-set	SCZ sets	global_slope	perregion	SCZ_prioritised	101	0.040335	0.090063	0.32713
gene-set	SCZ sets	global_slope	perregion	SCZ_prioritised_pc	101	0.040335	0.090063	0.32713
