parcellation,hemi,region,label,stem_a,stem_b,is_global,col_index
dsk,rh,superiorfrontal,rh_superiorfrontal,sufrrh,sufrh,False,60
dsk,rh,superiorparietal,rh_superiorparietal,suplrh,suplrh,False,61
dsk,rh,superiortemporal,rh_superiortemporal,sutmrh,sutmrh,False,62
dsk,rh,supramarginal,rh_supramarginal,smrh,smrh,False,63
dsk,rh,frontalpole,rh_frontalpole,frpolerh,fpolerh,False,64
dsk,rh,temporalpole,rh_temporalpole,tmpolerh,tmpolerh,False,65
dsk,rh,transversetemporal,rh_transversetemporal,trvtmrh,tvtmrh,False,66
dsk,rh,insula,rh_insula,insularh,insularh,False,67
dsk,lh,hemisphere_global,lh_global,meanlh,meanlh,True,68
dsk,rh,hemisphere_global,rh_global,meanrh,meanrh,True,69
dsk,both,hemisphere_global,both_global,mean,mean,True,70
