ensembl,feature_name,PC1_herringV3,PC1_U01V2
ENSG00000235058,ZMYND10-AS1,6.4182223e-06,2.7385096e-05
ENSG00000173473,SMARCC1,-0.0011710448,0.007750089
ENSG00000144619,CNTN4,0.05315026,0.04853109
ENSG00000225234,TRAPPC12-AS1,0.00023214132,0.0005254432
ENSG00000068001,HYAL2,6.93109e-05,-0.0003878194
ENSG00000186451,SPATA12,3.2214233e-05,6.945539e-05
ENSG00000226017,PRICKLE2-AS3,0.0005215021,0.00062188547
ENSG00000011198,ABHD5,0.0020508913,0.004409762
ENSG00000171865,RNASEH1,0.00020703759,0.00026846598
ENSG00000163935,SFMBT1,0.00025731954,0.003910747
ENSG00000151353,TMEM18,1.759212e-05,0.0007621993
ENSG00000171863,RPS7,0.0019213451,-5.212195e-06
ENSG00000114738,MAPKAPK3,-0.00046232252,-2.3475217e-05
ENSG00000151379,MSGN1,1.7227744e-07,-0.0
ENSG00000163029,SMC6,0.0029253585,0.007684666
ENSG00000206538,VGLL3,0.00029496144,0.00023440413
ENSG00000114480,GBE1,-0.0007160948,0.007053112
ENSG00000088538,DOCK3,0.018641975,0.04800543
ENSG00000241111,PRICKLE2-AS1,-0.0,0.0012323187
ENSG00000114541,FRMD4B,-0.036929816,-0.0032739847
ENSG00000151693,ASAP2,0.0020574902,0.007630294
ENSG00000169006,NTSR2,-0.0007827614,-4.44574e-06
ENSG00000228784,LINC00954,2.2529819e-05,0.00011790972
ENSG00000163618,CADPS,0.044370465,0.045864284
ENSG00000084754,HADHA,-0.0022268265,0.0023735855
ENSG00000143867,OSR1,1.7681927e-05,3.106123e-05
ENSG00000230448,LINC00276,0.0040820222,0.006413797
ENSG00000183891,TTC32,-0.0002167906,0.0006620897
ENSG00000084710,EFR3B,0.0048361267,0.01227674
ENSG00000142611,PRDM16,-0.012326447,-0.0022870284
ENSG00000163376,KBTBD8,0.00045293898,0.0006423355
ENSG00000157911,PEX10,0.0007045272,0.000830149
ENSG00000121440,PDZRN3,0.01821872,0.019693129
ENSG00000196208,GREB1,0.00039498782,0.0035066349
ENSG00000142655,PEX14,0.0025811389,0.006315923
ENSG00000080819,CPOX,-0.0025893443,0.004338267
ENSG00000168309,FAM107A,-0.0060090227,-0.0009533175
ENSG00000178295,GEN1,0.0006167226,0.0021016207
ENSG00000227124,ZNF717,-0.0005694009,0.0039906674
ENSG00000163032,VSNL1,0.025986724,0.027050938
ENSG00000171621,SPSB1,-0.0045515485,0.0003508966
ENSG00000240476,LINC00973,-0.0,-0.0
ENSG00000241158,ADAMTS9-AS1,0.0013947089,0.0014440592
ENSG00000142583,SLC2A5,-0.00014703203,0.0010774095
ENSG00000044524,EPHA3,0.019468512,0.011974157
ENSG00000173614,NMNAT1,-4.1864485e-05,0.002142989
ENSG00000162592,CCDC27,7.413074e-06,5.8902857e-05
ENSG00000132031,MATN3,6.824995e-05,9.395528e-05
ENSG00000036054,TBC1D23,0.0016022599,0.005391731
ENSG00000118960,HS1BP3,0.0026752015,0.0021530006
ENSG00000119778,ATAD2B,-0.0018973707,0.007327698
ENSG00000068784,SRBD1,-0.0016412492,0.0035528413
ENSG00000171729,TMEM51,-0.0013229282,0.00036958678
ENSG00000162949,CAPN13,-0.0012724872,0.00020737782
ENSG00000159423,ALDH4A1,-0.0,-0.0
ENSG00000049323,LTBP1,-0.016003719,0.00075719686
ENSG00000157916,RER1,0.000676415,0.0024699627
ENSG00000242641,LINC00971,0.00018976368,0.0006904431
ENSG00000184220,CMSS1,0.008768152,0.014659053
ENSG00000048707,VPS13D,0.0045290743,0.015930895
ENSG00000214711,CAPN14,0.0012826086,0.0009112871
ENSG00000143869,GDF7,0.00026070687,0.00029210077
ENSG00000158125,XDH,2.9556957e-05,0.00014780785
ENSG00000171132,PRKCE,0.030706454,0.033420447
ENSG00000138039,LHCGR,0.0004224467,-0.0
ENSG00000239589,LINC00879,3.893446e-05,0.00030671293
ENSG00000004838,ZMYND10,0.00011725075,0.00026370902
ENSG00000171126,KCNG3,0.0020909244,0.0022901366
ENSG00000230749,MEIS1-AS2,-0.00016782999,-5.0040737e-05
ENSG00000162444,RBP7,-0.0012457366,0.00013780469
ENSG00000115380,EFEMP1,-0.0036640263,-0.0004363771
ENSG00000180758,GPR157,9.2377384e-05,0.00024984407
ENSG00000153266,FEZF2,0.0012721521,0.0006073592
ENSG00000184677,ZBTB40,-0.00021429113,0.0019219673
ENSG00000239388,ASB14,0.00063392625,0.0017904352
ENSG00000144810,COL8A1,-2.5659152e-05,0.00038413706
ENSG00000131697,NPHP4,0.0061490447,0.005787134
ENSG00000170820,FSHR,0.0004582723,0.0017100784
ENSG00000013016,EHD3,0.001446133,0.0035245738
ENSG00000115421,PAPOLG,0.003077029,0.0041200384
ENSG00000163412,EIF4E3,0.00581163,0.0061128195
ENSG00000175087,PDIK1L,0.0016870169,0.0014519126
ENSG00000154165,GPR15,4.2192906e-07,8.551707e-07
ENSG00000162511,LAPTM5,3.2763473e-05,0.00010950349
ENSG00000249992,TMEM158,0.004123738,0.002627815
ENSG00000138029,HADHB,-0.0015287074,0.0034452938
ENSG00000158014,SLC30A2,4.9270096e-05,0.00022156899
ENSG00000204138,PHACTR4,-0.003374215,0.010254746
ENSG00000142675,CNKSR1,0.0007069662,0.00080351357
ENSG00000163666,HESX1,-0.00018926711,0.00054162665
ENSG00000176095,IP6K1,0.0037915702,0.0075977133
ENSG00000171055,FEZ2,0.0041492656,0.011938435
ENSG00000197245,FAM110D,5.9365862e-05,3.4628665e-05
ENSG00000244342,LINC00698,4.0745537e-05,0.00020436662
ENSG00000090020,SLC9A1,0.0027573935,0.0031685245
ENSG00000138079,SLC3A1,0.0010029766,0.0019097035
ENSG00000170837,GPR27,0.0020945393,0.0016479613
ENSG00000157978,LDLRAP1,-0.0058071655,-0.0005428601
ENSG00000163814,CDCP1,0.00039324615,0.0011590773
ENSG00000162512,SDC3,0.004967211,0.004851469
ENSG00000158006,PAFAH2,-0.0015612211,0.0011226275
ENSG00000080822,CLDND1,-0.015636709,-0.001527049
ENSG00000126698,DNAJC8,0.0013145444,0.0005000253
ENSG00000196975,ANXA4,-0.010412246,0.0023132109
ENSG00000168528,SERINC2,0.0003569569,-0.00035399056
ENSG00000196581,AJAP1,0.018135633,0.009659109
ENSG00000143951,WDPCP,-0.0005625113,0.020932395
ENSG00000169403,PTAFR,-0.00024819913,0.000553969
ENSG00000084628,NKAIN1,0.003533575,0.004777077
ENSG00000060688,SNRNP40,0.00028081314,0.0022256006
ENSG00000171612,SLC25A33,-0.0038334546,0.0016751732
ENSG00000188910,GJB3,3.379925e-05,3.2740234e-05
ENSG00000158161,EYA3,0.001059567,0.008793201
ENSG00000115944,COX7A2L,0.0064179185,0.0048062885
ENSG00000144040,SFXN5,-0.011779025,0.004698025
ENSG00000168306,ACOX2,-0.0005005667,9.30172e-05
ENSG00000142684,ZNF593,0.00020239239,0.0006124716
ENSG00000121769,FABP3,0.0036244933,0.001773274
ENSG00000142627,EPHA2,-0.00023332967,-5.3173302e-05
ENSG00000075292,ZNF638,-0.0140526695,0.020066837
ENSG00000153551,CMTM7,0.0006763143,0.0015845445
ENSG00000189337,KAZN,0.033389006,0.038526535
ENSG00000163513,TGFBR2,-0.00043990498,0.0005529569
ENSG00000028137,TNFRSF1B,6.8259246e-06,0.0001875189
ENSG00000240198,ARHGEF3-AS1,3.8111535e-05,0.00026232592
ENSG00000130939,UBE4B,-0.00664899,0.012316535
ENSG00000183813,CCR4,6.526979e-06,2.84409e-05
ENSG00000127472,PLA2G5,-0.0025801088,-0.00022924111
ENSG00000060656,PTPRU,0.0029593748,0.002244205
ENSG00000115464,USP34,-0.000643323,0.022884632
ENSG00000143971,ETAA1,-0.00054745754,0.00092079263
ENSG00000163867,ZMYM6,6.544017e-05,9.4383264e-05
ENSG00000213626,LBH,0.00246329,0.0013876384
ENSG00000189280,GJB5,4.4933345e-06,3.4262248e-05
ENSG00000134698,AGO4,0.004497656,0.010774884
ENSG00000226819,MEIS1-AS3,-2.7541051e-05,2.744574e-05
ENSG00000186854,TRABD2A,0.0013868203,0.001564961
ENSG00000273274,ZBTB8B,-0.0,-0.0
ENSG00000115363,EVA1A,-7.6203585e-05,0.001078597
ENSG00000009709,PAX7,0.00015716565,0.00053356984
ENSG00000143889,HNRNPLL,0.0027623775,0.005909473
ENSG00000158008,EXTL1,0.0031416006,0.004019228
ENSG00000130940,CASZ1,0.0010674543,0.0006643498
ENSG00000163879,DNALI1,0.000110183646,9.104724e-05
ENSG00000116954,RRAGC,-0.00023688613,0.0005798999
ENSG00000163873,GRIK3,0.014468037,0.010551486
ENSG00000115946,PNO1,0.00079666986,0.0012354484
ENSG00000117215,PLA2G2D,1.8069367e-06,1.0323557e-05
ENSG00000138035,PNPT1,-0.0023640895,0.0059874956
ENSG00000044012,GUCA2B,-0.0,5.8044657e-07
ENSG00000126067,PSMB2,0.0009160286,0.0018478374
ENSG00000054118,THRAP3,0.00427865,0.008161754
ENSG00000115350,POLE4,0.001139435,0.00097502925
ENSG00000001617,SEMA3F,0.0006249327,0.00036277075
ENSG00000135625,EGR4,0.00093422557,0.0014748066
ENSG00000143954,REG3G,-0.0,-0.0
ENSG00000158315,RHBDL2,-0.005794183,0.0035382593
ENSG00000115386,REG1A,-0.0,1.8729718e-06
ENSG00000152147,GEMIN6,0.000415223,0.0008092698
ENSG00000146463,ZMYM4,0.0054647,0.014037673
ENSG00000240175,MAGI1-AS1,8.176277e-05,0.00046137374
ENSG00000116016,EPAS1,-0.0045293397,1.6226404e-06
ENSG00000198643,FAM3D,1.6319405e-05,0.00018821648
ENSG00000142686,C1orf216,0.0034739627,0.0025969236
ENSG00000117148,ACTL8,7.477741e-05,9.459849e-05
ENSG00000117000,RLF,0.0043127513,0.012739701
ENSG00000135631,RAB11FIP5,0.0017430579,0.0017718269
ENSG00000092853,CLSPN,0.000920837,0.0008333666
ENSG00000189196,LINC00994,9.320493e-05,8.073771e-05
ENSG00000075340,ADD2,0.028768295,0.015904421
ENSG00000176407,KCMF1,0.0021166364,0.0061491374
ENSG00000134697,GNL2,0.00022103701,0.000821867
ENSG00000119866,BCL11A,0.028578332,0.022360021
ENSG00000187513,GJA4,2.175327e-06,7.7572795e-06
ENSG00000116151,MORN1,0.0021065671,0.0018571793
ENSG00000006555,TTC22,0.0006315415,0.000121692465
ENSG00000034510,TMSB10,0.014533673,-0.025220064
ENSG00000214513,NOTO,1.1902765e-05,6.518828e-05
ENSG00000066056,TIE1,9.470969e-05,0.00046113727
ENSG00000125551,PLGLB2,4.4904446e-05,7.695049e-05
ENSG00000115364,MRPL19,0.001003299,0.0056935945
ENSG00000214114,MYCBP,1.468556e-05,-0.0
ENSG00000124374,PAIP2B,-0.002501978,0.00045098658
ENSG00000116544,DLGAP3,0.0151651865,0.007993586
ENSG00000163586,FABP1,-5.087411e-06,9.309316e-06
ENSG00000239677,PDZRN3-AS1,3.0519623e-05,-1.0063447e-06
ENSG00000117016,RIMS3,0.0063832207,0.0061286674
ENSG00000163421,PROK2,4.9558173e-05,6.622571e-05
ENSG00000157500,APPL1,0.0029362065,0.007470407
ENSG00000169213,RAB3B,0.0060063465,0.0048680054
ENSG00000121152,NCAPH,1.8542285e-05,0.00013647648
ENSG00000163866,SMIM12,0.0049168305,0.004834827
ENSG00000162391,FAM151A,-0.00019263945,0.0001625765
ENSG00000241359,SYNPR-AS1,0.0006844525,0.0005895581
ENSG00000117859,OSBPL9,-0.006681576,0.008101073
ENSG00000162878,PKDCC,0.003006193,0.0032615766
ENSG00000163637,PRICKLE2,0.03808583,0.032932494
ENSG00000172023,REG1B,2.8993318e-07,1.860728e-06
ENSG00000159399,HK2,-0.0003676609,6.860063e-05
ENSG00000055813,CCDC85A,0.03289966,0.00011446696
ENSG00000158089,GALNT14,0.013960387,0.010689332
ENSG00000158435,CNOT11,-3.061975e-05,0.0015029868
ENSG00000115353,TACR1,0.002637932,0.0020698034
ENSG00000138032,PPM1B,-0.0063901325,0.010207739
ENSG00000135972,MRPS9,-0.0003957879,0.0052623516
ENSG00000157884,CIB4,0.00036026028,0.00027631418
ENSG00000253313,C1orf210,-8.886343e-06,1.9371987e-06
ENSG00000162396,PARS2,3.534846e-05,9.768305e-05
ENSG00000162378,ZYG11B,0.0077243317,0.01209408
ENSG00000119801,YPEL5,0.002032132,0.0032683471
ENSG00000240563,L1TD1,4.563567e-05,0.00022098301
ENSG00000117862,TXNDC12,0.0012343009,0.0024376116
ENSG00000234781,LINC01103,0.0031391834,0.0015497792
ENSG00000228369,TXNDC12-AS1,1.0090439e-05,6.9252937e-06
ENSG00000115616,SLC9A2,0.0019249965,0.0014413403
ENSG00000243725,TTC4,-4.8599704e-05,1.8417953e-05
ENSG00000071082,RPL31,0.0035859246,-0.0001865528
ENSG00000171872,KLF17,-2.0229966e-06,6.722463e-05
ENSG00000163877,SNIP1,0.00079941744,0.00089272845
ENSG00000157184,CPT2,-0.0007253678,0.00017589358
ENSG00000163630,SYNPR,0.017716132,0.015558542
ENSG00000198815,FOXJ3,0.0017181025,0.014155199
ENSG00000163162,RNF149,0.0052226027,0.0110498015
ENSG00000005436,GCFC2,-2.8348953e-05,0.00643208
ENSG00000115423,DNAH6,0.0072308513,0.010296947
ENSG00000162385,MAGOH,0.0005420341,0.0012395193
ENSG00000123080,CDKN2C,-0.00023959787,-1.6421709e-05
ENSG00000068697,LAPTM4A,-0.00021959648,-0.0028625387
ENSG00000162598,C1orf87,6.582494e-05,0.00023993655
ENSG00000162415,ZSWIM5,0.006536257,0.014849876
ENSG00000143995,MEIS1,-0.016088402,-0.0013116797
ENSG00000162600,OMA1,-1.2542458e-05,2.405305e-06
ENSG00000116704,SLC35D1,-0.0007520368,0.003676071
ENSG00000172086,KRCC1,-0.0036896076,0.0016542448
ENSG00000184731,FAM110C,0.00086798787,0.00063311495
ENSG00000115507,OTX1,-0.00067892997,-0.00017578102
ENSG00000157193,LRP8,0.008753394,0.0062503424
ENSG00000173960,UBXN2A,-0.0017859102,0.0043800795
ENSG00000171094,ALK,0.0035628504,0.00681481
ENSG00000163235,TGFA,-0.0034128525,0.00033535087
ENSG00000115875,SRSF7,0.0024722938,0.004294658
ENSG00000135638,EMX1,0.0028791619,0.0012365672
ENSG00000162869,PPP1R21,-0.0046599,0.0123750195
ENSG00000135951,TSGA10,-0.0031835986,0.009304562
ENSG00000116205,TCEANC2,-0.00048762016,0.0009345111
ENSG00000198841,KTI12,-0.0,-0.0
ENSG00000116212,LRRC42,0.00080899766,0.00069139234
ENSG00000132854,KANK4,-0.0017131346,0.0005660894
ENSG00000162607,USP1,0.00012742399,0.0012426907
ENSG00000259863,SH3RF3-AS1,0.00010843059,5.7241643e-05
ENSG00000135953,MFSD9,0.0013260467,0.000725013
ENSG00000154027,AK5,-0.0107054105,0.023196599
ENSG00000115665,SLC5A7,0.00014165539,0.0002085025
ENSG00000125538,IL1B,-1.667658e-05,5.9494832e-06
ENSG00000137960,GIPC2,0.0032147449,0.0059845257
ENSG00000116745,RPE65,-0.0003867729,-4.008917e-06
ENSG00000132855,ANGPTL3,8.8578645e-06,6.917044e-06
ENSG00000116675,DNAJC6,-0.013682263,0.016609957
ENSG00000163541,SUCLG1,0.0005276482,0.0032346426
ENSG00000162433,AK4,-0.00094661495,0.0022052482
ENSG00000213625,LEPROT,-0.0,-1.7754281e-06
ENSG00000158966,CACHD1,-0.007225514,0.0013096704
ENSG00000204640,NMS,4.9997375e-06,3.6816768e-05
ENSG00000143924,EML4,0.0036785314,0.008140333
ENSG00000203965,EFCAB7,0.005366872,0.0073348833
ENSG00000153898,MCOLN2,2.4203277e-05,0.00014042151
ENSG00000117069,ST6GALNAC5,0.03703331,0.03271731
ENSG00000125703,ATG4C,-0.016287489,0.0040668496
ENSG00000172985,SH3RF3,0.033532325,0.018986851
ENSG00000144021,CIAO1,0.0036801042,0.004130392
ENSG00000170417,TMEM182,0.0013496535,0.0009150344
ENSG00000143891,GALM,-0.00025476236,0.0013395085
ENSG00000150551,LYPD1,-0.0008434416,-3.1310326e-05
ENSG00000158050,DUSP2,0.0005475561,0.00087333156
ENSG00000115091,ACTR3,0.0022820462,0.0041544274
ENSG00000131233,GJA9,-0.0,-0.0
ENSG00000226516,FAM138B,2.8838798e-07,1.9388267e-06
ENSG00000235717,DPP10-AS2,1.2842709e-05,5.806926e-05
ENSG00000088205,DDX18,-0.0002658383,0.0024764095
ENSG00000137941,TTLL7,-0.015417539,0.021505313
ENSG00000115593,SMYD1,0.00010197818,0.0003138149
ENSG00000144227,NXPH2,0.005197381,0.0030982657
ENSG00000240857,RDH14,0.00094745134,0.0013034497
ENSG00000163064,EN1,-0.0,-0.0
ENSG00000186132,C2orf76,-0.0015888585,0.0009431319
ENSG00000066135,KDM4A,0.0012136572,0.0033178618
ENSG00000232991,GACAT1,2.5542215e-05,0.0001979835
ENSG00000116096,SPR,2.0524632e-05,8.679864e-05
ENSG00000117174,ZNHIT6,0.0012918598,0.005239088
ENSG00000184313,MROH7,-0.0,3.0458844e-07
ENSG00000136720,HS6ST1,0.007331259,0.0058592455
ENSG00000226479,TMEM185B,-0.0001559311,-5.9278365e-05
ENSG00000068781,STON1-GTF2A1L,0.0008447718,0.00090129
ENSG00000122420,PTGFR,0.0006526089,0.0003992844
ENSG00000143013,LMO4,0.031740945,0.014369516
ENSG00000198142,SOWAHC,0.0006328646,0.00017533757
ENSG00000134748,PRPF38A,0.0003999881,0.0011507734
ENSG00000071051,NCK2,0.010298124,0.0061225486
ENSG00000142892,PIGK,-0.0010213804,0.0051798075
ENSG00000157856,DRC1,0.0011541846,0.0017439635
ENSG00000197273,GUCA2A,6.882604e-07,4.8433657e-07
ENSG00000071073,MGAT4A,0.0032132037,0.007945461
ENSG00000116641,DOCK7,0.0028255014,0.011799103
ENSG00000170485,NPAS2,0.020422077,0.018351803
ENSG00000115641,FHL2,0.005033641,0.0049231146
ENSG00000088179,PTPN4,0.007748131,0.018472066
ENSG00000144028,SNRNP200,0.0018440039,0.0036648137
ENSG00000136718,IMP4,0.00063615834,0.0016037564
ENSG00000168702,LRP1B,0.00052844424,0.05273568
ENSG00000162989,KCNJ3,0.026502067,0.0255928
ENSG00000144120,TMEM177,0.00066111935,0.00032089866
ENSG00000172260,NEGR1,0.032600302,0.052905533
ENSG00000144278,GALNT13,0.0026218956,0.018933974
ENSG00000229867,STEAP3-AS1,5.280276e-06,1.3003238e-05
ENSG00000067334,DNTTIP2,0.00068473566,0.0006551945
ENSG00000228016,RAPGEF4-AS1,0.001821047,0.001654168
ENSG00000142949,PTPRF,0.0007034377,0.0071016117
ENSG00000072135,PTPN18,0.0040866453,0.0033629846
ENSG00000081320,STK17B,-0.0025591527,5.1649746e-05
ENSG00000152127,MGAT5,-0.0014376438,0.0131670395
ENSG00000188674,C2orf80,0.0045540216,0.0049976064
ENSG00000116133,DHCR24,-0.0013407413,0.003839464
ENSG00000116120,FARSB,0.00420299,0.005873123
ENSG00000150540,HNMT,0.0011339429,0.0022754201
ENSG00000187957,DNER,-0.0052638166,0.0053545274
ENSG00000171502,COL24A1,0.009156556,0.013198109
ENSG00000198612,COPS8,0.0018158647,0.0015762101
ENSG00000116157,GPX7,0.00019325809,-1.4006937e-05
ENSG00000143036,SLC44A3,-0.0004916006,0.000685045
ENSG00000091428,RAPGEF4,0.026959484,0.027920235
ENSG00000065243,PKN2,0.0041880007,0.015441605
ENSG00000226759,DAB1-AS1,0.00028281144,0.00014311573
ENSG00000117528,ABCD3,-0.003694205,0.0039185113
ENSG00000172339,ALG14,0.00033968565,0.0035404847
ENSG00000136535,TBR1,0.00384936,0.0014270294
ENSG00000058799,YIPF1,-0.00021625397,0.0015508624
ENSG00000182263,FIGN,-0.012123169,0.0027559798
ENSG00000203985,LDLRAD1,1.3414418e-05,7.933395e-05
ENSG00000072080,SPP2,1.1959549e-05,0.00028286543
ENSG00000189433,GJB4,5.1450793e-06,4.9413516e-06
ENSG00000179178,TMEM125,-0.0045406646,-0.00048795628
ENSG00000142700,DMRTA2,-0.00037578717,-0.00010346534
ENSG00000127124,HIVEP3,0.03548036,0.031384047
ENSG00000137936,BCAR3,-0.0006861764,0.0033164104
ENSG00000114948,ADAM23,0.026407396,0.029758202
ENSG00000143032,BARHL2,5.465445e-06,-1.0957513e-06
ENSG00000117519,CNN3,-0.003622602,-0.002414105
ENSG00000144730,IL17RD,0.0013349004,0.00024158187
ENSG00000134215,VAV3,-0.010063914,0.00081104686
ENSG00000144228,SPOPL,0.0023775306,0.004848151
ENSG00000136542,GALNT5,6.226555e-05,8.9413435e-05
ENSG00000152128,TMEM163,0.011117546,0.010022566
ENSG00000188641,DPYD,-0.0020281782,0.024968226
ENSG00000241101,PRICKLE2-AS2,6.513349e-05,0.00020090704
ENSG00000171492,LRRC8D,-0.0014905701,0.00082245836
ENSG00000163510,CWC22,0.0016109836,0.0046510557
ENSG00000170989,S1PR1,-0.002317935,-0.0008217001
ENSG00000138411,HECW2,0.0128228115,0.032910112
ENSG00000137962,ARHGAP29,0.0030223255,0.004980081
ENSG00000198369,SPRED2,0.014410143,0.015807241
ENSG00000163638,ADAMTS9,-9.773897e-05,0.0027082898
ENSG00000162944,RFTN2,-0.035738777,-0.004790302
ENSG00000079739,PGM1,-0.00073723,0.0020408162
ENSG00000163083,INHBB,-0.0013268155,-0.00022433179
ENSG00000117154,IGSF21,0.026759451,0.015736442
ENSG00000162377,COA7,0.00034462256,0.0007753286
ENSG00000116774,OLFML3,2.5058669e-06,-3.883442e-05
ENSG00000023909,GCLM,0.0024421266,0.003405653
ENSG00000178662,CSRNP3,0.026573,0.028064245
ENSG00000069702,TGFBR3,-0.0038146155,0.0013634168
ENSG00000144331,ZNF385B,0.04109718,0.040937368
ENSG00000230489,VAV3-AS1,-9.398758e-05,0.00035281107
ENSG00000198198,SZT2,-0.0017579221,0.0027399033
ENSG00000144118,RALB,0.00089879683,0.0015715825
ENSG00000188042,ARL4C,0.009876458,0.0066032084
ENSG00000135632,SMYD5,0.00075849745,0.000786415
ENSG00000135960,EDAR,3.345162e-05,0.00017878377
ENSG00000116793,PHTF1,0.010023771,0.013235814
ENSG00000163600,ICOS,3.3007423e-06,1.8713363e-05
ENSG00000138400,MDH1B,0.0005825691,0.0010446382
ENSG00000138376,BARD1,-0.0023223558,0.0010745893
ENSG00000117525,F3,-0.010105071,-0.004010681
ENSG00000224238,WARS2-IT1,-2.1561234e-05,3.7517268e-05
ENSG00000162692,VCAM1,-0.00018968052,-0.0001671978
ENSG00000181656,GPR88,0.00077966624,0.000719186
ENSG00000122481,RWDD3,-0.0,-0.0
ENSG00000198162,MAN1A2,0.012373863,0.022199798
ENSG00000144736,SHQ1,-0.0012130211,0.0016665736
ENSG00000171517,LPAR3,-0.00015651311,0.00020633885
ENSG00000232878,DPYD-AS1,0.002560406,0.0048229387
ENSG00000143079,CTTNBP2NL,0.0067264396,0.0055618915
ENSG00000115844,DLX2,0.000385762,-0.0002950742
ENSG00000170035,UBE2E3,0.004181267,0.009382777
ENSG00000173947,CIMAP3,-2.6558326e-05,3.8578768e-05
ENSG00000134198,TSPAN2,0.0044468516,0.0012621273
ENSG00000198799,LRIG2,-0.0011502422,0.004377031
ENSG00000054219,LY75,-6.6019254e-07,-0.0
ENSG00000117620,SLC35A3,-1.1712071e-05,0.0034610117
ENSG00000144119,C1QL2,-0.0002267428,0.00058606337
ENSG00000242441,GTF2A1L,-0.0,-0.0
ENSG00000163012,ZSWIM2,9.665005e-05,0.00013085497
ENSG00000115361,ACADL,0.00078297895,0.00077791035
ENSG00000124019,FAM124B,2.667279e-05,0.00019032774
ENSG00000162688,AGL,0.00043140355,0.0063019483
ENSG00000118997,DNAH7,0.0058303834,0.011150494
ENSG00000175497,DPP10,0.04464183,0.062155243
ENSG00000197106,SLC6A17,0.013775873,0.012450398
ENSG00000115020,PIKFYVE,-0.0012954349,0.007508003
ENSG00000203859,HSD3B2,3.5385679e-06,5.1530124e-06
ENSG00000185946,RNPC3,-0.000108916,0.012677405
ENSG00000162627,SNX7,0.0063859085,0.0035016842
ENSG00000162695,SLC30A7,0.0010011178,0.005261136
ENSG00000174453,VWC2L,0.009433241,0.008494928
ENSG00000115109,EPB41L5,0.0059103407,0.0112888
ENSG00000134247,PTGFRN,0.00087254395,0.0023080413
ENSG00000162664,ZNF326,-7.777669e-06,0.005669751
ENSG00000134253,TRIM45,0.00015805766,0.00039428647
ENSG00000235777,DPYD-AS2,3.4670798e-06,2.1717806e-06
ENSG00000198765,SYCP1,8.240667e-05,0.00048519598
ENSG00000254552,XIRP2-AS1,-1.5143121e-07,2.802637e-06
