label,hemi,x,y,z,space
lh_V4t,lh,-40.689995,-74.284134,-53.16194,sphere
rh_V4t,rh,40.689995,-74.284134,-53.16194,sphere
lh_FST,lh,-54.13701,-64.33811,-54.12755,sphere
rh_FST,rh,54.13701,-64.33811,-54.12755,sphere
lh_V3CD,lh,-23.75554,-95.10332,-19.774555,sphere
rh_V3CD,rh,23.75554,-95.10332,-19.774555,sphere
lh_LO3,lh,-41.477024,-85.05992,-32.318207,sphere
rh_LO3,rh,41.477024,-85.05992,-32.318207,sphere
lh_VMV2,lh,27.297855,-30.23597,-91.32695,sphere
rh_VMV2,rh,-27.297855,-30.23597,-91.32695,sphere
lh_31pd,lh,81.09673,-57.683678,9.793652,sphere
rh_31pd,rh,-81.09673,-57.683678,9.793652,sphere
lh_31a,lh,89.1599,-40.447994,20.358599,sphere
rh_31a,rh,-89.1599,-40.447994,20.358599,sphere
lh_VVC,lh,-3.5193071,-32.198627,-94.609,sphere
rh_VVC,rh,3.5193071,-32.198627,-94.609,sphere
lh_25,lh,60.586792,66.11278,-44.253147,sphere
rh_25,rh,-60.586792,66.11278,-44.253147,sphere
lh_s32,lh,59.285515,73.2045,-33.560806,sphere
rh_s32,rh,-59.285515,73.2045,-33.560806,sphere
lh_pOFC,lh,28.17813,72.11983,-63.28288,sphere
rh_pOFC,rh,-28.17813,72.11983,-63.28288,sphere
lh_PoI1,lh,-63.714134,62.486565,-45.12137,sphere
rh_PoI1,rh,63.714134,62.486565,-45.12137,sphere
lh_Ig,lh,-82.79548,55.6205,-7.160285,sphere
rh_Ig,rh,82.79548,55.6205,-7.160285,sphere
lh_FOP5,lh,-41.75995,89.39438,-16.27121,sphere
rh_FOP5,rh,41.75995,89.39438,-16.27121,sphere
lh_p10p,lh,30.613226,94.2193,13.621807,sphere
rh_p10p,rh,-30.613226,94.2193,13.621807,sphere
lh_p47r,lh,-13.951381,98.7326,7.5653033,sphere
rh_p47r,rh,13.951381,98.7326,7.5653033,sphere
lh_TGv,lh,-29.574957,24.519997,-92.32601,sphere
rh_TGv,rh,29.574957,24.519997,-92.32601,sphere
lh_MBelt,lh,-84.77512,41.014652,-33.63,sphere
rh_MBelt,rh,84.77512,41.014652,-33.63,sphere
lh_LBelt,lh,-96.15808,22.338552,-15.95659,sphere
rh_LBelt,rh,96.15808,22.338552,-15.95659,sphere
lh_A4,lh,-95.31808,6.615918,-29.507498,sphere
rh_A4,rh,95.31808,6.615918,-29.507498,sphere
lh_STSva,lh,-73.917755,12.504968,-66.18,sphere
rh_STSva,rh,73.917755,12.504968,-66.18,sphere
lh_TE1m,lh,-64.5458,-13.837769,-75.11561,sphere
rh_TE1m,rh,64.5458,-13.837769,-75.11561,sphere
lh_PI,lh,-55.414253,57.108162,-60.56334,sphere
rh_PI,rh,55.414253,57.108162,-60.56334,sphere
lh_a32pr,lh,85.01499,48.50488,20.487236,sphere
rh_a32pr,rh,-85.01499,48.50488,20.487236,sphere
lh_p24,lh,83.440414,55.10432,-1.1004012,sphere
rh_p24,rh,-83.440414,55.10432,-1.1004012,sphere
