session	measure	max_abs_diff
sub-04TRXUGL/ses-02A	nverts	0.0
sub-04TRXUGL/ses-02A	thickness_mm	0.0
sub-04TRXUGL/ses-02A	area_mm2	0.0
sub-04TRXUGL/ses-02A	gmv_mm3	0.0
sub-05ATJ1V1/ses-00A	nverts	0.0
sub-05ATJ1V1/ses-00A	thickness_mm	0.0
sub-05ATJ1V1/ses-00A	area_mm2	0.0
sub-05ATJ1V1/ses-00A	gmv_mm3	0.0
sub-05WK8AN7/ses-00A	nverts	0.0
sub-05WK8AN7/ses-00A	thickness_mm	0.0
sub-05WK8AN7/ses-00A	area_mm2	0.0
sub-05WK8AN7/ses-00A	gmv_mm3	0.0
sub-08K0R9C4/ses-00A	nverts	0.0
sub-08K0R9C4/ses-00A	thickness_mm	0.0
sub-08K0R9C4/ses-00A	area_mm2	0.0
sub-08K0R9C4/ses-00A	gmv_mm3	0.0
sub-09AUXBBT/ses-02A	nverts	0.0
sub-09AUXBBT/ses-02A	thickness_mm	0.0
sub-09AUXBBT/ses-02A	area_mm2	0.0
sub-09AUXBBT/ses-02A	gmv_mm3	0.0
sub-09AUXBBT/ses-06A	nverts	0.0
sub-09AUXBBT/ses-06A	thickness_mm	0.0
sub-09AUXBBT/ses-06A	area_mm2	0.0
sub-09AUXBBT/ses-06A	gmv_mm3	0.0
sub-09ZE6UUK/ses-00A	nverts	0.0
sub-09ZE6UUK/ses-00A	thickness_mm	0.0
sub-09ZE6UUK/ses-00A	area_mm2	0.0
sub-09ZE6UUK/ses-00A	gmv_mm3	0.0
sub-0APJMRD1/ses-00A	nverts	0.0
sub-0APJMRD1/ses-00A	thickness_mm	0.0
sub-0APJMRD1/ses-00A	area_mm2	0.0
sub-0APJMRD1/ses-00A	gmv_mm3	0.0
sub-0B0HVEYX/ses-00A	nverts	0.0
sub-0B0HVEYX/ses-00A	thickness_mm	0.0
sub-0B0HVEYX/ses-00A	area_mm2	0.0
sub-0B0HVEYX/ses-00A	gmv_mm3	0.0
sub-0BAVEL0T/ses-02A	nverts	0.0
sub-0BAVEL0T/ses-02A	thickness_mm	0.0
sub-0BAVEL0T/ses-02A	area_mm2	0.0
sub-0BAVEL0T/ses-02A	gmv_mm3	0.0
sub-0D0C239B/ses-00A	nverts	0.0
sub-0D0C239B/ses-00A	thickness_mm	0.0
sub-0D0C239B/ses-00A	area_mm2	0.0
sub-0D0C239B/ses-00A	gmv_mm3	0.0
sub-0DVK13LU/ses-00A	nverts	0.0
sub-0DVK13LU/ses-00A	thickness_mm	0.0
sub-0DVK13LU/ses-00A	area_mm2	0.0
sub-0DVK13LU/ses-00A	gmv_mm3	0.0
sub-0GYC1NWR/ses-06A	nverts	0.0
sub-0GYC1NWR/ses-06A	thickness_mm	0.0
sub-0GYC1NWR/ses-06A	area_mm2	0.0
sub-0GYC1NWR/ses-06A	gmv_mm3	0.0
sub-0JWEE23L/ses-00A	nverts	0.0
sub-0JWEE23L/ses-00A	thickness_mm	0.0
sub-0JWEE23L/ses-00A	area_mm2	0.0
sub-0JWEE23L/ses-00A	gmv_mm3	0.0
sub-0K1RBPXM/ses-00A	nverts	0.0
sub-0K1RBPXM/ses-00A	thickness_mm	0.0
sub-0K1RBPXM/ses-00A	area_mm2	0.0
sub-0K1RBPXM/ses-00A	gmv_mm3	0.0
sub-0N10CEEL/ses-00A	nverts	0.0
sub-0N10CEEL/ses-00A	thickness_mm	0.0
sub-0N10CEEL/ses-00A	area_mm2	0.0
sub-0N10CEEL/ses-00A	gmv_mm3	0.0
sub-0PHTY15N/ses-00A	nverts	0.0
sub-0PHTY15N/ses-00A	thickness_mm	0.0
sub-0PHTY15N/ses-00A	area_mm2	0.0
sub-0PHTY15N/ses-00A	gmv_mm3	0.0
sub-0VXEC29A/ses-04A	nverts	0.0
sub-0VXEC29A/ses-04A	thickness_mm	0.0
sub-0VXEC29A/ses-04A	area_mm2	0.0
sub-0VXEC29A/ses-04A	gmv_mm3	0.0
sub-0X45NBYM/ses-06A	nverts	0.0
sub-0X45NBYM/ses-06A	thickness_mm	0.0
sub-0X45NBYM/ses-06A	area_mm2	0.0
sub-0X45NBYM/ses-06A	gmv_mm3	0.0
sub-12CUM0KV/ses-00A	nverts	0.0
sub-12CUM0KV/ses-00A	thickness_mm	0.0
sub-12CUM0KV/ses-00A	area_mm2	0.0
sub-12CUM0KV/ses-00A	gmv_mm3	0.0
sub-13BCLD41/ses-06A	nverts	0.0
sub-13BCLD41/ses-06A	thickness_mm	0.0
sub-13BCLD41/ses-06A	area_mm2	0.0
sub-13BCLD41/ses-06A	gmv_mm3	0.0
sub-13GH02YK/ses-00A	nverts	0.0
sub-13GH02YK/ses-00A	thickness_mm	0.0
sub-13GH02YK/ses-00A	area_mm2	0.0
sub-13GH02YK/ses-00A	gmv_mm3	0.0
sub-13MV0VA7/ses-02A	nverts	0.0
sub-13MV0VA7/ses-02A	thickness_mm	0.0
sub-13MV0VA7/ses-02A	area_mm2	0.0
sub-13MV0VA7/ses-02A	gmv_mm3	0.0
sub-15CWGD6V/ses-06A	nverts	0.0
sub-15CWGD6V/ses-06A	thickness_mm	0.0
sub-15CWGD6V/ses-06A	area_mm2	0.0
sub-15CWGD6V/ses-06A	gmv_mm3	0.0
sub-1FDC7YAJ/ses-04A	nverts	0.0
sub-1FDC7YAJ/ses-04A	thickness_mm	0.0
sub-1FDC7YAJ/ses-04A	area_mm2	0.0
sub-1FDC7YAJ/ses-04A	gmv_mm3	0.0
sub-1FGBFDT9/ses-02A	nverts	0.0
sub-1FGBFDT9/ses-02A	thickness_mm	0.0
sub-1FGBFDT9/ses-02A	area_mm2	0.0
sub-1FGBFDT9/ses-02A	gmv_mm3	0.0
sub-1FT79EHP/ses-00A	nverts	0.0
sub-1FT79EHP/ses-00A	thickness_mm	0.0
sub-1FT79EHP/ses-00A	area_mm2	0.0
sub-1FT79EHP/ses-00A	gmv_mm3	0.0
sub-1GDR72XA/ses-00A	nverts	0.0
sub-1GDR72XA/ses-00A	thickness_mm	0.0
sub-1GDR72XA/ses-00A	area_mm2	0.0
sub-1GDR72XA/ses-00A	gmv_mm3	0.0
sub-1H7JEJW1/ses-02A	nverts	0.0
sub-1H7JEJW1/ses-02A	thickness_mm	0.0
sub-1H7JEJW1/ses-02A	area_mm2	0.0
sub-1H7JEJW1/ses-02A	gmv_mm3	0.0
sub-1JAFHY62/ses-06A	nverts	0.0
sub-1JAFHY62/ses-06A	thickness_mm	0.0
sub-1JAFHY62/ses-06A	area_mm2	0.0
sub-1JAFHY62/ses-06A	gmv_mm3	0.0
sub-1JLAATTP/ses-06A	nverts	0.0
sub-1JLAATTP/ses-06A	thickness_mm	0.0
sub-1JLAATTP/ses-06A	area_mm2	0.0
sub-1JLAATTP/ses-06A	gmv_mm3	0.0
sub-1K1285TU/ses-04A	nverts	0.0
sub-1K1285TU/ses-04A	thickness_mm	0.0
sub-1K1285TU/ses-04A	area_mm2	0.0
sub-1K1285TU/ses-04A	gmv_mm3	0.0
sub-1K2D2FB3/ses-02A	nverts	0.0
sub-1K2D2FB3/ses-02A	thickness_mm	0.0
sub-1K2D2FB3/ses-02A	area_mm2	0.0
sub-1K2D2FB3/ses-02A	gmv_mm3	0.0
sub-1KZTEZF5/ses-02A	nverts	0.0
sub-1KZTEZF5/ses-02A	thickness_mm	0.0
sub-1KZTEZF5/ses-02A	area_mm2	0.0
sub-1KZTEZF5/ses-02A	gmv_mm3	0.0
sub-1LC5DBRK/ses-06A	nverts	0.0
sub-1LC5DBRK/ses-06A	thickness_mm	0.0
sub-1LC5DBRK/ses-06A	area_mm2	0.0
sub-1LC5DBRK/ses-06A	gmv_mm3	0.0
sub-1P2BB9HY/ses-00A	nverts	0.0
sub-1P2BB9HY/ses-00A	thickness_mm	0.0
sub-1P2BB9HY/ses-00A	area_mm2	0.0
sub-1P2BB9HY/ses-00A	gmv_mm3	0.0
sub-1Y40DZT8/ses-02A	nverts	0.0
sub-1Y40DZT8/ses-02A	thickness_mm	0.0
sub-1Y40DZT8/ses-02A	area_mm2	0.0
sub-1Y40DZT8/ses-02A	gmv_mm3	0.0
sub-20MDTUZ8/ses-00A	nverts	0.0
sub-20MDTUZ8/ses-00A	thickness_mm	0.0
sub-20MDTUZ8/ses-00A	area_mm2	0.0
sub-20MDTUZ8/ses-00A	gmv_mm3	0.0
sub-21CN9606/ses-00A	nverts	0.0
sub-21CN9606/ses-00A	thickness_mm	0.0
sub-21CN9606/ses-00A	area_mm2	0.0
sub-21CN9606/ses-00A	gmv_mm3	0.0
sub-27NJ4UJ7/ses-00A	nverts	0.0
sub-27NJ4UJ7/ses-00A	thickness_mm	0.0
sub-27NJ4UJ7/ses-00A	area_mm2	0.0
sub-27NJ4UJ7/ses-00A	gmv_mm3	0.0
sub-28DR91DW/ses-00A	nverts	0.0
sub-28DR91DW/ses-00A	thickness_mm	0.0
sub-28DR91DW/ses-00A	area_mm2	0.0
sub-28DR91DW/ses-00A	gmv_mm3	0.0
sub-2B7P1TMR/ses-00A	nverts	0.0
sub-2B7P1TMR/ses-00A	thickness_mm	0.0
sub-2B7P1TMR/ses-00A	area_mm2	0.0
sub-2B7P1TMR/ses-00A	gmv_mm3	0.0
sub-2BPVXTH3/ses-06A	nverts	0.0
sub-2BPVXTH3/ses-06A	thickness_mm	0.0
sub-2BPVXTH3/ses-06A	area_mm2	0.0
sub-2BPVXTH3/ses-06A	gmv_mm3	0.0
sub-2BW6G83G/ses-06A	nverts	0.0
sub-2BW6G83G/ses-06A	thickness_mm	0.0
sub-2BW6G83G/ses-06A	area_mm2	0.0
sub-2BW6G83G/ses-06A	gmv_mm3	0.0
sub-2CVG2YBY/ses-06A	nverts	0.0
sub-2CVG2YBY/ses-06A	thickness_mm	0.0
sub-2CVG2YBY/ses-06A	area_mm2	0.0
sub-2CVG2YBY/ses-06A	gmv_mm3	0.0
sub-2E77XGT6/ses-04A	nverts	0.0
sub-2E77XGT6/ses-04A	thickness_mm	0.0
sub-2E77XGT6/ses-04A	area_mm2	0.0
sub-2E77XGT6/ses-04A	gmv_mm3	0.0
sub-2GDYKWG2/ses-06A	nverts	0.0
sub-2GDYKWG2/ses-06A	thickness_mm	0.0
sub-2GDYKWG2/ses-06A	area_mm2	0.0
sub-2GDYKWG2/ses-06A	gmv_mm3	0.0
sub-49YTZ5Z4/ses-00A	nverts	0.0
sub-49YTZ5Z4/ses-00A	thickness_mm	0.0
sub-49YTZ5Z4/ses-00A	area_mm2	0.0
sub-49YTZ5Z4/ses-00A	gmv_mm3	0.0
sub-4C12ZREL/ses-02A	nverts	0.0
sub-4C12ZREL/ses-02A	thickness_mm	0.0
sub-4C12ZREL/ses-02A	area_mm2	0.0
sub-4C12ZREL/ses-02A	gmv_mm3	0.0
sub-4C8YJ9BG/ses-04A	nverts	0.0
sub-4C8YJ9BG/ses-04A	thickness_mm	0.0
sub-4C8YJ9BG/ses-04A	area_mm2	0.0
sub-4C8YJ9BG/ses-04A	gmv_mm3	0.0
sub-4CB96L7N/ses-00A	nverts	0.0
sub-4CB96L7N/ses-00A	thickness_mm	0.0
sub-4CB96L7N/ses-00A	area_mm2	0.0
sub-4CB96L7N/ses-00A	gmv_mm3	0.0
sub-4JD9NHNZ/ses-04A	nverts	0.0
sub-4JD9NHNZ/ses-04A	thickness_mm	0.0
sub-4JD9NHNZ/ses-04A	area_mm2	0.0
sub-4JD9NHNZ/ses-04A	gmv_mm3	0.0
sub-4JHN1XBR/ses-06A	nverts	0.0
sub-4JHN1XBR/ses-06A	thickness_mm	0.0
sub-4JHN1XBR/ses-06A	area_mm2	0.0
sub-4JHN1XBR/ses-06A	gmv_mm3	0.0
sub-5HER88YM/ses-02A	nverts	0.0
sub-5HER88YM/ses-02A	thickness_mm	0.0
sub-5HER88YM/ses-02A	area_mm2	0.0
sub-5HER88YM/ses-02A	gmv_mm3	0.0
sub-5Z57C4GY/ses-00A	nverts	0.0
sub-5Z57C4GY/ses-00A	thickness_mm	0.0
sub-5Z57C4GY/ses-00A	area_mm2	0.0
sub-5Z57C4GY/ses-00A	gmv_mm3	0.0
sub-660006Z5/ses-00A	nverts	0.0
sub-660006Z5/ses-00A	thickness_mm	0.0
sub-660006Z5/ses-00A	area_mm2	0.0
sub-660006Z5/ses-00A	gmv_mm3	0.0
sub-6BVU3BDR/ses-06A	nverts	0.0
sub-6BVU3BDR/ses-06A	thickness_mm	0.0
sub-6BVU3BDR/ses-06A	area_mm2	0.0
sub-6BVU3BDR/ses-06A	gmv_mm3	0.0
sub-6R8YX29J/ses-04A	nverts	0.0
sub-6R8YX29J/ses-04A	thickness_mm	0.0
sub-6R8YX29J/ses-04A	area_mm2	0.0
sub-6R8YX29J/ses-04A	gmv_mm3	0.0
sub-6TL940V1/ses-04A	nverts	0.0
sub-6TL940V1/ses-04A	thickness_mm	0.0
sub-6TL940V1/ses-04A	area_mm2	0.0
sub-6TL940V1/ses-04A	gmv_mm3	0.0
sub-6U7JK69M/ses-06A	nverts	0.0
sub-6U7JK69M/ses-06A	thickness_mm	0.0
sub-6U7JK69M/ses-06A	area_mm2	0.0
sub-6U7JK69M/ses-06A	gmv_mm3	0.0
sub-6UTCM96K/ses-02A	nverts	0.0
sub-6UTCM96K/ses-02A	thickness_mm	0.0
sub-6UTCM96K/ses-02A	area_mm2	0.0
sub-6UTCM96K/ses-02A	gmv_mm3	0.0
sub-6UZL0D8M/ses-02A	nverts	0.0
sub-6UZL0D8M/ses-02A	thickness_mm	0.0
sub-6UZL0D8M/ses-02A	area_mm2	0.0
sub-6UZL0D8M/ses-02A	gmv_mm3	0.0
sub-6W6JXPC8/ses-06A	nverts	0.0
sub-6W6JXPC8/ses-06A	thickness_mm	0.0
sub-6W6JXPC8/ses-06A	area_mm2	0.0
sub-6W6JXPC8/ses-06A	gmv_mm3	0.0
sub-6WH2N8P4/ses-04A	nverts	0.0
sub-6WH2N8P4/ses-04A	thickness_mm	0.0
sub-6WH2N8P4/ses-04A	area_mm2	0.0
sub-6WH2N8P4/ses-04A	gmv_mm3	0.0
sub-6WV9X2KM/ses-04A	nverts	0.0
sub-6WV9X2KM/ses-04A	thickness_mm	0.0
sub-6WV9X2KM/ses-04A	area_mm2	0.0
sub-6WV9X2KM/ses-04A	gmv_mm3	0.0
sub-743YNW7Y/ses-00A	nverts	0.0
sub-743YNW7Y/ses-00A	thickness_mm	0.0
sub-743YNW7Y/ses-00A	area_mm2	0.0
sub-743YNW7Y/ses-00A	gmv_mm3	0.0
sub-75H3LM5P/ses-04A	nverts	0.0
sub-75H3LM5P/ses-04A	thickness_mm	0.0
sub-75H3LM5P/ses-04A	area_mm2	0.0
sub-75H3LM5P/ses-04A	gmv_mm3	0.0
sub-7616XCLL/ses-04A	nverts	0.0
sub-7616XCLL/ses-04A	thickness_mm	0.0
sub-7616XCLL/ses-04A	area_mm2	0.0
sub-7616XCLL/ses-04A	gmv_mm3	0.0
sub-761E1JVD/ses-04A	nverts	0.0
sub-761E1JVD/ses-04A	thickness_mm	0.0
sub-761E1JVD/ses-04A	area_mm2	0.0
sub-761E1JVD/ses-04A	gmv_mm3	0.0
sub-77L20NBP/ses-06A	nverts	0.0
sub-77L20NBP/ses-06A	thickness_mm	0.0
sub-77L20NBP/ses-06A	area_mm2	0.0
sub-77L20NBP/ses-06A	gmv_mm3	0.0
sub-78ZMU14W/ses-00A	nverts	0.0
sub-78ZMU14W/ses-00A	thickness_mm	0.0
sub-78ZMU14W/ses-00A	area_mm2	0.0
sub-78ZMU14W/ses-00A	gmv_mm3	0.0
sub-8AGDK03U/ses-06A	nverts	0.0
sub-8AGDK03U/ses-06A	thickness_mm	0.0
sub-8AGDK03U/ses-06A	area_mm2	0.0
sub-8AGDK03U/ses-06A	gmv_mm3	0.0
sub-8AWUPZE7/ses-04A	nverts	0.0
sub-8AWUPZE7/ses-04A	thickness_mm	0.0
sub-8AWUPZE7/ses-04A	area_mm2	0.0
sub-8AWUPZE7/ses-04A	gmv_mm3	0.0
sub-8M54WJ04/ses-00A	nverts	0.0
sub-8M54WJ04/ses-00A	thickness_mm	0.0
sub-8M54WJ04/ses-00A	area_mm2	0.0
sub-8M54WJ04/ses-00A	gmv_mm3	0.0
sub-BHD2GF0Z/ses-04A	nverts	0.0
sub-BHD2GF0Z/ses-04A	thickness_mm	0.0
sub-BHD2GF0Z/ses-04A	area_mm2	0.0
sub-BHD2GF0Z/ses-04A	gmv_mm3	0.0
sub-BHYXXNJJ/ses-06A	nverts	0.0
sub-BHYXXNJJ/ses-06A	thickness_mm	0.0
sub-BHYXXNJJ/ses-06A	area_mm2	0.0
sub-BHYXXNJJ/ses-06A	gmv_mm3	0.0
sub-BJDX22E8/ses-02A	nverts	0.0
sub-BJDX22E8/ses-02A	thickness_mm	0.0
sub-BJDX22E8/ses-02A	area_mm2	0.0
sub-BJDX22E8/ses-02A	gmv_mm3	0.0
sub-BK1CNLJ5/ses-02A	nverts	0.0
sub-BK1CNLJ5/ses-02A	thickness_mm	0.0
sub-BK1CNLJ5/ses-02A	area_mm2	0.0
sub-BK1CNLJ5/ses-02A	gmv_mm3	0.0
sub-BKN88GVE/ses-02A	nverts	0.0
sub-BKN88GVE/ses-02A	thickness_mm	0.0
sub-BKN88GVE/ses-02A	area_mm2	0.0
sub-BKN88GVE/ses-02A	gmv_mm3	0.0
sub-CL9HK006/ses-00A	nverts	0.0
sub-CL9HK006/ses-00A	thickness_mm	0.0
sub-CL9HK006/ses-00A	area_mm2	0.0
sub-CL9HK006/ses-00A	gmv_mm3	0.0
sub-CLL6BCXN/ses-06A	nverts	0.0
sub-CLL6BCXN/ses-06A	thickness_mm	0.0
sub-CLL6BCXN/ses-06A	area_mm2	0.0
sub-CLL6BCXN/ses-06A	gmv_mm3	0.0
sub-CWC14R4P/ses-06A	nverts	0.0
sub-CWC14R4P/ses-06A	thickness_mm	0.0
sub-CWC14R4P/ses-06A	area_mm2	0.0
sub-CWC14R4P/ses-06A	gmv_mm3	0.0
sub-CWRMZH2U/ses-00A	nverts	0.0
sub-CWRMZH2U/ses-00A	thickness_mm	0.0
sub-CWRMZH2U/ses-00A	area_mm2	0.0
sub-CWRMZH2U/ses-00A	gmv_mm3	0.0
sub-CX7YWXVP/ses-04A	nverts	0.0
sub-CX7YWXVP/ses-04A	thickness_mm	0.0
sub-CX7YWXVP/ses-04A	area_mm2	0.0
sub-CX7YWXVP/ses-04A	gmv_mm3	0.0
sub-CXGPDB42/ses-06A	nverts	0.0
sub-CXGPDB42/ses-06A	thickness_mm	0.0
sub-CXGPDB42/ses-06A	area_mm2	0.0
sub-CXGPDB42/ses-06A	gmv_mm3	0.0
sub-CZU8RL3L/ses-06A	nverts	0.0
sub-CZU8RL3L/ses-06A	thickness_mm	0.0
sub-CZU8RL3L/ses-06A	area_mm2	0.0
sub-CZU8RL3L/ses-06A	gmv_mm3	0.0
sub-D0ETUKJA/ses-00A	nverts	0.0
sub-D0ETUKJA/ses-00A	thickness_mm	0.0
sub-D0ETUKJA/ses-00A	area_mm2	0.0
sub-D0ETUKJA/ses-00A	gmv_mm3	0.0
sub-D0VUNDTN/ses-06A	nverts	0.0
sub-D0VUNDTN/ses-06A	thickness_mm	0.0
sub-D0VUNDTN/ses-06A	area_mm2	0.0
sub-D0VUNDTN/ses-06A	gmv_mm3	0.0
sub-ED7CA79P/ses-02A	nverts	0.0
sub-ED7CA79P/ses-02A	thickness_mm	0.0
sub-ED7CA79P/ses-02A	area_mm2	0.0
sub-ED7CA79P/ses-02A	gmv_mm3	0.0
sub-ED9YFTFB/ses-04A	nverts	0.0
sub-ED9YFTFB/ses-04A	thickness_mm	0.0
sub-ED9YFTFB/ses-04A	area_mm2	0.0
sub-ED9YFTFB/ses-04A	gmv_mm3	0.0
sub-EDALBX5M/ses-06A	nverts	0.0
sub-EDALBX5M/ses-06A	thickness_mm	0.0
sub-EDALBX5M/ses-06A	area_mm2	0.0
sub-EDALBX5M/ses-06A	gmv_mm3	0.0
sub-EDE0TXYZ/ses-00A	nverts	0.0
sub-EDE0TXYZ/ses-00A	thickness_mm	0.0
sub-EDE0TXYZ/ses-00A	area_mm2	0.0
sub-EDE0TXYZ/ses-00A	gmv_mm3	0.0
sub-EDF5950W/ses-04A	nverts	0.0
sub-EDF5950W/ses-04A	thickness_mm	0.0
sub-EDF5950W/ses-04A	area_mm2	0.0
sub-EDF5950W/ses-04A	gmv_mm3	0.0
sub-EDLY2KYA/ses-06A	nverts	0.0
sub-EDLY2KYA/ses-06A	thickness_mm	0.0
sub-EDLY2KYA/ses-06A	area_mm2	0.0
sub-EDLY2KYA/ses-06A	gmv_mm3	0.0
sub-EE19BRYA/ses-00A	nverts	0.0
sub-EE19BRYA/ses-00A	thickness_mm	0.0
sub-EE19BRYA/ses-00A	area_mm2	0.0
sub-EE19BRYA/ses-00A	gmv_mm3	0.0
sub-EE52ZTTG/ses-02A	nverts	0.0
sub-EE52ZTTG/ses-02A	thickness_mm	0.0
sub-EE52ZTTG/ses-02A	area_mm2	0.0
sub-EE52ZTTG/ses-02A	gmv_mm3	0.0
sub-EE6R9ATH/ses-04A	nverts	0.0
sub-EE6R9ATH/ses-04A	thickness_mm	0.0
sub-EE6R9ATH/ses-04A	area_mm2	0.0
sub-EE6R9ATH/ses-04A	gmv_mm3	0.0
sub-EE9A4993/ses-00A	nverts	0.0
sub-EE9A4993/ses-00A	thickness_mm	0.0
sub-EE9A4993/ses-00A	area_mm2	0.0
sub-EE9A4993/ses-00A	gmv_mm3	0.0
sub-EEEJ9XTB/ses-00A	nverts	0.0
sub-EEEJ9XTB/ses-00A	thickness_mm	0.0
sub-EEEJ9XTB/ses-00A	area_mm2	0.0
sub-EEEJ9XTB/ses-00A	gmv_mm3	0.0
sub-EEGFEXUY/ses-00A	nverts	0.0
sub-EEGFEXUY/ses-00A	thickness_mm	0.0
sub-EEGFEXUY/ses-00A	area_mm2	0.0
sub-EEGFEXUY/ses-00A	gmv_mm3	0.0
sub-EEVBDEC7/ses-02A	nverts	0.0
sub-EEVBDEC7/ses-02A	thickness_mm	0.0
sub-EEVBDEC7/ses-02A	area_mm2	0.0
sub-EEVBDEC7/ses-02A	gmv_mm3	0.0
sub-EEY2XYCA/ses-04A	nverts	0.0
sub-EEY2XYCA/ses-04A	thickness_mm	0.0
sub-EEY2XYCA/ses-04A	area_mm2	0.0
sub-EEY2XYCA/ses-04A	gmv_mm3	0.0
sub-EF0Z9NKP/ses-00A	nverts	0.0
sub-EF0Z9NKP/ses-00A	thickness_mm	0.0
sub-EF0Z9NKP/ses-00A	area_mm2	0.0
sub-EF0Z9NKP/ses-00A	gmv_mm3	0.0
sub-EF0Z9NKP/ses-06A	nverts	0.0
sub-EF0Z9NKP/ses-06A	thickness_mm	0.0
sub-EF0Z9NKP/ses-06A	area_mm2	0.0
sub-EF0Z9NKP/ses-06A	gmv_mm3	0.0
sub-EF3A52CN/ses-00A	nverts	0.0
sub-EF3A52CN/ses-00A	thickness_mm	0.0
sub-EF3A52CN/ses-00A	area_mm2	0.0
sub-EF3A52CN/ses-00A	gmv_mm3	0.0
sub-EFCEPKCD/ses-00A	nverts	0.0
sub-EFCEPKCD/ses-00A	thickness_mm	0.0
sub-EFCEPKCD/ses-00A	area_mm2	0.0
sub-EFCEPKCD/ses-00A	gmv_mm3	0.0
sub-EGCADPBF/ses-00A	nverts	0.0
sub-EGCADPBF/ses-00A	thickness_mm	0.0
sub-EGCADPBF/ses-00A	area_mm2	0.0
sub-EGCADPBF/ses-00A	gmv_mm3	0.0
sub-EGFEVU9N/ses-06A	nverts	0.0
sub-EGFEVU9N/ses-06A	thickness_mm	0.0
sub-EGFEVU9N/ses-06A	area_mm2	0.0
sub-EGFEVU9N/ses-06A	gmv_mm3	0.0
sub-EGZWYGFM/ses-04A	nverts	0.0
sub-EGZWYGFM/ses-04A	thickness_mm	0.0
sub-EGZWYGFM/ses-04A	area_mm2	0.0
sub-EGZWYGFM/ses-04A	gmv_mm3	0.0
sub-EH3T61EE/ses-00A	nverts	0.0
sub-EH3T61EE/ses-00A	thickness_mm	0.0
