GENE	C1	C2	C3	C1+	C2+	C3+	C1-	C2-	C3-
81	0.797521	0.110289	0.155271	0.797521	0.110289	0.155271	0	0	0
55860	-0.830775	0.200272	0.110479	0	0.200272	0.110479	0.830775	0	0
10121	-0.64792	0.523057	0.198537	0	0.523057	0.198537	0.64792	0	0
10120	0.742778	-0.153098	0.358572	0.742778	0	0.358572	0	0.153098	0
10096	-0.580938	0.232748	-0.0450955	0	0.232748	0	0.580938	0	0.0450955
57180	-0.8387	0.008485	0.140261	0	0.008485	0.140261	0.8387	0	0
653857	-0.40153	0.141586	-0.442554	0	0.141586	0	0.40153	0	0.442554
79913	0.0794278	-0.596702	0.232855	0.0794278	0	0.232855	0	0.596702	0
90	0.407023	-0.0750417	-0.355435	0.407023	0	0	0	0.0750417	0.355435
130399	0.787935	0.149522	-0.142884	0.787935	0.149522	0	0	0	0.142884
92	-0.756903	-0.433824	0.147479	0	0	0.147479	0.756903	0.433824	0
93	-0.647233	-0.289067	0.212031	0	0	0.212031	0.647233	0.289067	0
94	0.331372	0.432191	-0.221023	0.331372	0.432191	0	0	0	0.221023
91703	-0.495626	0.0799598	-0.292042	0	0.0799598	0	0.495626	0	0.292042
98	0.777631	0.302628	-0.167938	0.777631	0.302628	0	0	0	0.167938
161931	0.00395687	-0.113682	-0.272415	0.00395687	0	0	0	0.113682	0.272415
8751	0.512135	-0.0582219	-0.472678	0.512135	0	0	0	0.0582219	0.472678
6868	-0.076727	-0.316446	-0.176891	0	0	0	0.076727	0.316446	0.176891
53616	0.833377	0.186555	0.196637	0.833377	0.186555	0.196637	0	0	0
8745	0.913926	0.291698	0.0755002	0.913926	0.291698	0.0755002	0	0	0
10863	-0.596368	0.0443065	-0.323316	0	0.0443065	0	0.596368	0	0.323316
101	0.563286	-0.40125	0.138386	0.563286	0	0.138386	0	0.40125	0
8754	0.57436	-0.348871	-0.020966	0.57436	0	0	0	0.348871	0.020966
11093	0.735127	-0.225503	0.0618925	0.735127	0	0.0618925	0	0.225503	0
171019	-0.673827	0.104932	-0.0687181	0	0.104932	0	0.673827	0	0.0687181
9509	0.173925	0.460265	-0.0467557	0.173925	0.460265	0	0	0	0.0467557
9508	-0.734238	0.157154	0.409143	0	0.157154	0.409143	0.734238	0	0
9507	0.231847	0.32417	-0.398959	0.231847	0.32417	0	0	0	0.398959
11096	0.764815	0.180231	0.142284	0.764815	0.180231	0.142284	0	0	0
11095	-0.535517	-0.100742	0.427525	0	0	0.427525	0.535517	0.100742	0
56999	-0.658853	0.302286	-0.390413	0	0.302286	0	0.658853	0	0.390413
92949	0.439783	-0.516328	-0.0930404	0.439783	0	0	0	0.516328	0.0930404
9719	-0.43747	0.491151	-0.14765	0	0.491151	0	0.43747	0	0.14765
57188	-0.34149	0.48199	-0.451108	0	0.48199	0	0.34149	0	0.451108
55803	-0.740865	0.057063	-0.290196	0	0.057063	0	0.740865	0	0.290196
642394	0.130337	0.497166	-0.48189	0.130337	0.497166	0	0	0	0.48189
107	0.506102	0.269131	-0.0140702	0.506102	0.269131	0	0	0	0.0140702
108	-0.69	0.315224	0.133309	0	0.315224	0.133309	0.69	0	0
109	0.511449	-0.376542	0.0473823	0.511449	0	0.0473823	0	0.376542	0
196883	0.315607	0.400793	-0.253863	0.315607	0.400793	0	0	0	0.253863
113	-0.63252	0.388174	0.330942	0	0.388174	0.330942	0.63252	0	0
114	0.104374	-0.275632	-0.488356	0.104374	0	0	0	0.275632	0.488356
115	0.864683	-0.0312228	0.0815737	0.864683	0	0.0815737	0	0.0312228	0
116	-0.0396313	0.261192	0.397807	0	0.261192	0.397807	0.0396313	0	0
117	-0.622315	-0.210522	-0.381862	0	0	0	0.622315	0.210522	0.381862
118	0.71736	-0.0525176	-0.0163958	0.71736	0	0	0	0.0525176	0.0163958
84435	0.434396	0.18762	0.202217	0.434396	0.18762	0.202217	0	0	0
25960	0.507929	0.106423	0.178269	0.507929	0.106423	0.178269	0	0	0
166647	-0.676001	0.0079057	-0.290484	0	0.0079057	0	0.676001	0	0.290484
577	-0.775613	0.0198447	0.329601	0	0.0198447	0.329601	0.775613	0	0
976	0.0520646	0.248096	-0.348011	0.0520646	0.248096	0	0	0	0.348011
221395	-0.393956	0.233796	0.191493	0	0.233796	0.191493	0.393956	0	0
9289	-0.785412	0.017129	-0.0567319	0	0.017129	0	0.785412	0	0.0567319
57211	-0.371827	-0.149171	-0.188797	0	0	0	0.371827	0.149171	0.188797
23266	0.595962	-0.435308	0.110577	0.595962	0	0.110577	0	0.435308	0
